Date,Scan ID,Release Version,Observation Day,Scan Status,Stocks Attempted,Stocks Successfully Analyzed,Stocks Failed,HC Count,Golden Count,P50,P75,P90,P95,P99,Max Score,Top Symbol,Top Score
2026-06-08,scan_manual_1780912272_5903ae,R1.0,1,PARTIAL,574,573,1,0,0,38,42,46,48,52,57,PFIZER,57
2026-06-09,scan_manual_1780994993_a2c72f,R1.0,2,PARTIAL,574,573,1,4,0,48,53,56,58,63,66,CERA,58
2026-06-11,scan_auto_1781149742_1b50e6,R1.0,4,PARTIAL,574,573,1,0,0,47,51,55,57,61,63,HINDZINC,63
2026-06-11,scan_auto_1781119968_378a72,R1.0,4,PARTIAL,574,547,27,1,0,47,51,54,57,59,62,ICICIBANK,58
2026-06-12,scan_manual_1781204781_605845,R1.0,5,PARTIAL,574,572,2,1,0,42,46,50,52,57,61,NEULANDLAB,57
2026-06-12,scan_manual_1781243071_13db15,R1.0,5,PARTIAL,574,573,1,5,0,49,54,60,62,66,72,NEULANDLAB,65
2026-06-12,scan_manual_1781246696_15a996,R1.0,5,PARTIAL,574,573,1,4,0,49,54,60,62,66,72,KARURVYSYA,64
2026-06-12,scan_auto_1781246107_1ed9ec,R1.0,5,PARTIAL,574,573,1,2,0,48,52,58,60,64,68,CUB,59
2026-06-12,scan_manual_1781251418_db0822,R1.0,5,PARTIAL,574,573,1,4,0,49,54,60,62,66,72,NEULANDLAB,65
2026-06-13,scan_auto_1781322911_ba2c24,R1.0,6,PARTIAL,575,573,2,9,0,48,53,57,60,62,66,BORORENEW,66
